"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"pxgg","Poh Yap Chicken Rice","Chicken Rice","4.4","(64)","Shah Alam",""
"ezfa","Kowloon Bubble Waffle (Bandar Bukit Raja)","Malaysian","4","(50)","Shah Alam",""
"hu4w","Relex Portugese Grill (Lotuss Foodcourt Setia Alam)","Seafood","3","(12)","Shah Alam",""
"r9yh","BFF Yong Tau Fu 好友记酿豆腐","Malaysian","4.3","(100+)","Shah Alam",""
"im8g","XiMenDing Braised Pork Rice (KKSV Restaurant)","Asian","4","(14)","Shah Alam",""
"yo9a","Bean Jr (Kota Kemuning)","Asian","4.1","(100+)","Shah Alam",""
"xfqw","Chicken Sharma","Malaysian","4.6","(83)","Shah Alam",""
"r1ke","Starbucks (Kota Kemuning DT)","Coffee","4.5","(2000+)","Shah Alam",""
"cskw","THE TASTY CORNER 小城知味","Chinese","4.9","(15)","Shah Alam",""
"kmw6","BITEME (Bukit Raja)","Pancakes & Waffles","4.8","(100+)","Shah Alam",""
"x2jr","steamboat ala damai","Asian","5","(3)","Shah Alam",""
"zzwc","Roti Wap Abang Gebu","Cakes","4.9","(3)","Shah Alam",""
"iusk","Kheng’s Kopitiam","Malaysian","4.4","(100+)","Shah Alam",""
"j6v4","MY.KajangSate","Chicken","4.5","(100+)","Shah Alam",""
"xtpx","PAKTAM SUP UTARA (Bandar Bukit Raja)","Noodles","4.7","(100+)","Shah Alam",""
"l1bj","Vedha's  Cuisine","Chicken","4.6","(100+)","Shah Alam",""
"p28k","Canning Heritage Express  (Gamuda Walk)","Chicken","3.3","(30)","Shah Alam",""
