"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"o3ih","Dayang Sarawak Corner Putrajaya","Noodles","4.8","(5000+)","Putrajaya",""
"r1pw","Nasi Ayam Hainan (P11)","Chicken","4.7","(5000+)","Putrajaya",""
"u6yz","BURGER ADYAZIE PUTRAJAYA","Burgers","4.9","(100+)","Putrajaya",""
"n7nk","Restoran Al Naz","Middle Eastern","4.3","(1000+)","Putrajaya",""
"w7cf","RISHPI AD KATERING","Malaysian","4.5","(100+)","Putrajaya",""
"r3ff","Bang Wan Burger & Chicken","Burgers","4.8","(3000+)","Putrajaya",""
"n9t0","Otak Otak & Takoyaki Leleh Melinjau Presint 11","Malaysian","5","(9)","Putrajaya",""
"f8hn","FARELL CAKE & BAKE","Cakes","4.6","(18)","Putrajaya",""
"h8vo","muiz kitchen","Chicken","4.8","(2000+)","Putrajaya",""
"w1rd","Quwan Pisang Goreng","Malaysian","4.7","(100+)","Putrajaya",""
"cgxh","Burger Mari On","Burgers","4.9","(100+)","Putrajaya",""
"cw5u","Takoyaki Dapur Nurr","Japanese","3.9","(11)","Putrajaya",""
"vojy","Kenny Rogers Roasters (Persint 15 Putrajaya)","Chicken","5","(63)","Putrajaya",""
"gd2d","Mama Acik kitchen","Malaysian","1","(1)","Putrajaya",""
"ptcv","Eato Enjoy Japanese Paradise (IOI City Mall)","Japanese","4.2","(7)","Putrajaya",""
"p1cv","Sukiya Tokyo Bowls & Noodles (IOI City Putrajaya)","Japanese","4.4","(500+)","Putrajaya",""
"yj4b","Gigi Coffee (IOI City Mall)","Coffee","4.7","(100+)","Putrajaya",""
"m5se","Fuel Shack (IOI City Mall)","Burgers","4.7","(500+)","Putrajaya",""
"u1op","Koong Woh Tong (IOI City Mall)","Tea","5","(48)","Putrajaya",""
"zgpv","Little Thai Cuisine (S12 - Food Junction IOI City Mall)","Asian","4.1","(3)","Putrajaya",""
"n7zj","Hanbing Korean Dessert (Ioi city mall)","Chicken","4.5","(97)","Putrajaya",""
"m8wj","dipndip (IOI City Putrajaya)","Bread","4.8","(100+)","Putrajaya",""
"n8xl","Gong Cha (IOI CIty Mall)","Tea","4.7","(500+)","Putrajaya",""
"b0sf","Haagen Dazs (IOI City Mall)","Beverages","4.5","(19)","Putrajaya",""
"p8au","KFC (IOI City Mall)","Fried Chicken","4.4","(2000+)","Putrajaya",""
"cbhj","The Spice Alley","Malaysian","3.9","(6)","Putrajaya",""
"m0vv","penyetpenyet.com (IOI City Mall)","Ayam Penyet","4.4","(1000+)","Putrajaya",""
"r8u4","Yolé (IOI City Mall)","Desserts","5","(33)","Putrajaya",""
"s7xx","Boost Juice (IOI City Mall Putrajaya)","Juice","4.6","(500+)","Putrajaya",""
"mz2g","Selera Nasi Ambang","Rice Dishes","4.7","(500+)","Putrajaya",""
"qfh9","The Stable of Good Food & Great Wine (IOI City Mall)","Malaysian","4.5","(7)","Putrajaya",""
"z36g","J.CO Donuts & Coffee (IOI City Mall)","Bread","4.7","(100+)","Putrajaya",""
"o1lj","Morganfield's (IOI City Mall)","Western","4.4","(100+)","Putrajaya",""
"jn1r","laksa kedah inspen","Malaysian","4.7","(85)","Putrajaya",""
